TIME	Signal
2001-01-01	-1.330832726
2001-01-02	3.693391893
2001-01-03	1.017960336
2001-01-04	8.119075489
2001-01-05	10.4314408
2001-01-06	7.880346193
2001-01-07	-3.277189899
2001-01-08	6.106955806
2001-01-09	1.04420569
2001-01-10	8.502394534
2001-01-11	7.935798667
2001-01-12	12.83275836
2001-01-13	8.125424725
2001-01-14	11.13330235
2001-01-15	8.139339478
2001-01-16	7.611178203
2001-01-17	8.162806036
2001-01-18	12.18191804
2001-01-19	15.55072854
2001-01-20	9.350484972
2001-01-21	14.9133596
2001-01-22	8.465185893
2001-01-23	9.992369654
2001-01-24	20.9273156
2001-01-25	13.53736331
2001-01-26	19.07467944
2001-01-27	19.91432541
2001-01-28	17.91175731
2001-01-29	17.79324785
2001-01-30	17.59102203
2001-01-31	20.9099035
2001-02-01	28.70845199
2001-02-02	23.40521121
2001-02-03	25.55950056
2001-02-04	16.11457422
2001-02-05	18.82904959
2001-02-06	24.77954636
2001-02-07	25.1857042
2001-02-08	16.48654407
2001-02-09	16.15019932
2001-02-10	26.59093471
2001-02-11	19.35311335
2001-02-12	24.98221301
2001-02-13	18.44865474
2001-02-14	21.44802345
2001-02-15	19.77930589
2001-02-16	19.21246867
2001-02-17	19.66059281
2001-02-18	23.9569263
2001-02-19	20.43624274
2001-02-20	21.5749248
2001-02-21	15.73614123
2001-02-22	17.84432765
2001-02-23	20.80410934
2001-02-24	14.33713318
2001-02-25	14.0990817
2001-02-26	10.59229211
2001-02-27	14.66533009
2001-02-28	12.78737404
2001-03-01	20.23699811
2001-03-02	16.24519136
2001-03-03	15.20420478
2001-03-04	19.80518693
2001-03-05	20.88583025
2001-03-06	15.90251359
2001-03-07	11.51182603
2001-03-08	13.6613953
2001-03-09	13.22159095
2001-03-10	16.19289544
2001-03-11	18.57730751
2001-03-12	19.65221813
2001-03-13	15.73940409
2001-03-14	15.50197969
2001-03-15	14.12071464
2001-03-16	19.07864227
2001-03-17	11.36710109
2001-03-18	11.01878145
