TIME	Signal
2001-01-01	-0.540275096
2001-01-02	2.167630402
2001-01-03	2.118119233
2001-01-04	4.509400157
2001-01-05	5.699048825
2001-01-06	5.66730002
2001-01-07	3.477336213
2001-01-08	6.415134675
2001-01-09	5.732519001
2001-01-10	8.170440337
2001-01-11	8.591487503
2001-01-12	10.36679535
2001-01-13	9.728484171
2001-01-14	11.00554791
2001-01-15	10.76787921
2001-01-16	11.13158436
2001-01-17	11.74939839
2001-01-18	13.21752782
2001-01-19	14.50585556
2001-01-20	13.38407124
2001-01-21	15.18464595
2001-01-22	13.96351792
2001-01-23	14.71682174
2001-01-24	17.80224633
2001-01-25	16.28627012
2001-01-26	17.98163507
2001-01-27	18.48186443
2001-01-28	18.25063845
2001-01-29	18.46940032
2001-01-30	18.64614047
2001-01-31	19.68205836
2001-02-01	21.81684683
2001-02-02	20.65525393
2001-02-03	21.33728055
2001-02-04	19.09896967
2001-02-05	19.88026289
2001-02-06	21.45065933
2001-02-07	21.6154691
2001-02-08	19.48490254
2001-02-09	19.42650164
2001-02-10	22.04439343
2001-02-11	20.22528012
2001-02-12	21.60619142
2001-02-13	19.93043989
2001-02-14	20.62267406
2001-02-15	20.13343584
2001-02-16	19.90605274
2001-02-17	19.91966919
2001-02-18	20.88350723
2001-02-19	19.88220357
2001-02-20	20.03582784
2001-02-21	18.43617407
2001-02-22	18.81537809
2001-02-23	19.40064533
2001-02-24	17.62345586
2001-02-25	17.39881488
2001-02-26	16.35340444
2001-02-27	17.20047381
2001-02-28	16.55843238
2001-03-01	18.24804234
2001-03-02	17.07817027
2001-03-03	16.64799579
2001-03-04	17.63141728
2001-03-05	17.73896039
2001-03-06	16.3358105
2001-03-07	15.08719068
2001-03-08	15.48106569
2001-03-09	15.23606487
2001-03-10	15.85332195
2001-03-11	16.33432304
2001-03-12	16.49937289
2001-03-13	15.42984051
2001-03-14	15.29239459
2001-03-15	14.88308038
2001-03-16	16.07346941
2001-03-17	14.11216755
2001-03-18	14.00807453
2001-03-19	15.75864907
2001-03-20	14.03188784
2001-03-21	14.0134543
2001-03-22	15.93665592
2001-03-23	15.37069063
2001-03-24	14.85083578
2001-03-25	14.28749753
2001-03-26	15.46832305
2001-03-27	14.73828471
2001-03-28	15.72620213
2001-03-29	16.53636166
2001-03-30	13.80983146
